id,data,hora,temperatura,status,umidade
A11,2021-10-09,06:11,-1,1,22
A11,2021-10-09,06:12,-2,1,22
A11,2021-10-09,06:17,-1,1,22
A11,2021-10-09,06:18,-2,1,22
A11,2021-10-09,06:19,-1,1,21
A11,2021-10-09,06:20, 0,1,22
A11,2021-10-09,06:21,-2,1,21
A11,2021-10-09,06:22,-1,1,22
A11,2021-10-09,06:31,-2,1,22
A11,2021-10-09,06:32,-1,1,22
A22,2021-10-09,07:02, 27,1, 96
A11,2021-10-09,07:47,-3,1,22
A11,2021-10-09,07:48,-1,1,22
A11,2021-10-09,08:06,-3,1,22
A11,2021-10-09,08:07,-1,1,22
A11,2021-10-09,08:11,-3,1,22
A11,2021-10-09,08:13,-1,1,22
A11,2021-10-09,08:16,-2,1,22
A11,2021-10-09,08:17,-1,1,22
A11,2021-10-09,08:37, 0,1,54
A11,2021-10-09,08:38,-2,1,45
A11,2021-10-09,08:41, 0,1,30
A11,2021-10-09,08:43,-1,1,27
A11,2021-10-09,08:44, 0,1,26
A11,2021-10-09,08:45,-2,1,26
A11,2021-10-09,08:46,-1,1,25
A11,2021-10-09,09:14,-2,1,49
A11,2021-10-09,09:16, 0,1,42
A11,2021-10-09,09:24,-2,1,24
A22,2021-10-09,09:25, 28,1, 92
A11,2021-10-09,09:27,-1,1,23
A11,2021-10-09,09:28,-2,1,23
A11,2021-10-09,09:29,-1,1,23
A11,2021-10-09,09:31, 0,1,23
A11,2021-10-09,09:32,-1,1,23
A11,2021-10-09,09:33, 0,1,23
A11,2021-10-09,09:34,-1,1,23
A22,2021-10-09,09:35, 27,1, 91
A22,2021-10-09,09:36, 28,1, 91
A22,2021-10-09,09:37, 27,1, 91
A22,2021-10-09,09:38, 28,1, 91
A22,2021-10-09,09:39, 27,1, 91
A22,2021-10-09,09:40, 28,1, 91
A22,2021-10-09,09:44, 27,1, 91
A11,2021-10-09,11:00,-2,1,66
A11,2021-10-09,11:01, 0,1,67
A11,2021-10-09,11:49, 1,1,74
A11,2021-10-09,11:50, 0,1,69
A11,2021-10-09,14:09, 1,1,86
A11,2021-10-09,14:10, 0,1,86
A11,2021-10-09,14:44,-2,1,33
A11,2021-10-09,14:46,-1,1,32
A11,2021-10-09,15:25,-3,1,27
A11,2021-10-09,15:26,-1,1,27
A11,2021-10-09,15:29,-2,1,27
A11,2021-10-09,15:30,-1,1,27
A11,2021-10-09,15:33,-2,1,27
A11,2021-10-09,15:34,-3,1,27
A11,2021-10-09,15:37,-2,1,27
A11,2021-10-09,15:39,-3,1,27
A11,2021-10-09,15:40,-2,1,27
A11,2021-10-09,15:41,-1,1,27
A11,2021-10-09,15:42,-2,1,27
A11,2021-10-09,15:44,-1,1,30
A11,2021-10-09,15:47,-1,1,86
A11,2021-10-09,15:51,-3,1,86
A11,2021-10-09,15:52,-2,1,85
A11,2021-10-09,15:53,-1,1,83
A11,2021-10-09,15:54,-2,1,81
A11,2021-10-09,15:55,-1,1,79
A11,2021-10-09,15:56,-2,1,76
A11,2021-10-09,16:08,-2,1,59
A11,2021-10-09,16:10,-3,1,67
A11,2021-10-09,16:11,-1,1,69
A11,2021-10-09,16:14,-2,1,73
A11,2021-10-09,16:15,-1,1,66
A11,2021-10-09,16:24,-3,1,48
A11,2021-10-09,16:25,-1,1,47
A11,2021-10-09,16:26,-3,1,47
A11,2021-10-09,16:27,-2,1,46
A11,2021-10-09,16:49,-3,1,39
A11,2021-10-09,16:50,-2,1,40
A11,2021-10-09,16:52,-3,1,39
A11,2021-10-09,16:54,-2,1,40
A11,2021-10-09,16:57,-4,1,39
A11,2021-10-09,17:00,-2,1,39
A11,2021-10-09,17:01,-4,1,39
A11,2021-10-09,17:02,-3,1,38
A11,2021-10-09,17:15,-4,1,38
A11,2021-10-09,17:16,-3,1,37
A11,2021-10-09,17:45, 4,1,87
A11,2021-10-09,17:46,16,1,92
A11,2021-10-09,17:47,20,1,93
A11,2021-10-09,17:48,21,1,94
A11,2021-10-09,17:49,22,1,95
A11,2021-10-09,17:50,24,1,95
A11,2021-10-09,17:51,25,1,89
A11,2021-10-09,17:53,26,1,83
A11,2021-10-09,17:55,26,1,69
A11,2021-10-09,17:56,17,1,35
A11,2021-10-09,17:57, 8,1,47
A11,2021-10-09,17:58, 3,1,57
A11,2021-10-09,17:59, 0,1,62
A11,2021-10-09,18:04,-1,1,86
A11,2021-10-09,18:06,-1,1,86
A11,2021-10-09,18:07,-3,1,84
A11,2021-10-09,18:08,-2,1,81
A22,2021-10-09,20:15, 26,1, 92
